state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,cases,previous_cases,2019_population,change_in_case_ratio
Florida,Gulf,4,1,1,0,0,7,2,0,1,0,0,0,685.0,415.0,13639.0,1979.6999999999998
Florida,Martin,2,3,2,0,0,7,11,0,3,0,0,1,3852.0,3658.0,161000.0,120.5
Florida,Monroe,3,1,0,2,0,6,13,0,6,0,0,0,1548.0,1389.0,74228.0,214.20000000000005
Florida,Dixie,1,0,0,0,0,1,11,0,1,0,0,0,562.0,284.0,16826.0,1652.1999999999998
Florida,Gilchrist,1,0,1,0,0,2,4,0,0,0,0,0,369.0,334.0,18582.0,188.39999999999986
Florida,Clay,2,0,0,0,0,2,6,0,3,1,0,0,3327.0,2984.0,219252.0,156.4000000000001
Florida,Flagler,4,0,0,0,0,4,9,1,3,0,1,0,1095.0,961.0,115081.0,116.39999999999998
Florida,Gadsden,1,1,0,0,0,2,7,1,6,0,0,0,1927.0,1599.0,45660.0,718.3000000000002
Florida,St. Lucie,2,4,0,0,0,6,6,0,2,0,0,0,5920.0,5329.0,328297.0,180.0
Florida,Lake,6,0,0,0,0,5,12,0,8,0,1,0,5229.0,4769.0,367118.0,125.29999999999995
Florida,Marion,8,0,0,0,0,8,13,1,11,2,0,0,6668.0,5434.0,365579.0,337.5999999999999
Florida,Nassau,0,0,0,0,0,0,8,0,0,0,0,0,1253.0,1138.0,88625.0,129.70000000000005
Florida,Lafayette,0,0,0,0,0,0,8,0,2,0,0,0,189.0,113.0,8422.0,902.3999999999999
Florida,Columbia,0,0,0,0,0,0,4,0,3,0,0,0,2917.0,2637.0,71686.0,390.5999999999999
Florida,Hamilton,0,0,0,0,0,1,4,0,5,0,1,0,623.0,592.0,14428.0,214.89999999999964
Florida,Seminole,0,0,0,0,0,0,3,0,1,0,0,0,7219.0,6760.0,471826.0,97.29999999999995
Florida,Madison,1,0,0,0,0,1,5,0,7,0,0,0,710.0,661.0,18493.0,265.0
Florida,Jackson,0,0,0,0,0,2,5,1,2,2,0,0,1936.0,1643.0,46414.0,631.2999999999997
Florida,Liberty,3,1,0,0,0,4,2,0,2,0,0,0,407.0,418.0,8354.0,-131.70000000000073
Florida,Putnam,1,0,0,0,0,1,9,0,5,1,0,0,1539.0,1397.0,74521.0,190.5999999999999
Florida,Lee,0,2,0,0,0,2,9,0,1,0,0,0,16717.0,15873.0,770577.0,109.5
Florida,Sarasota,0,0,0,0,0,0,1,0,3,0,0,0,6314.0,5854.0,433742.0,106.0
