state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,current_cases,current_deaths,previous_cases,previous_deaths,2019_population,change_in_case_ratio,change_in_deaths_ratio,storm_composite,km_cluster,dbs_clusters,latitude,longitude,coordinates
Texas,Tom Green,0,0,0,0,0,0,1,0,0,0,0,0,2740.0,26.0,2476.0,20.0,119200.0,221.5,5.033557046979865,1,0,0,31.3839017,-100.439656,"(31.3839017, -100.439656)"
Texas,Coke,0,0,0,0,0,0,1,0,0,0,0,0,42.0,2.0,40.0,1.0,3387.0,59.0,29.52465308532625,1,3,0,31.82776629999999,-100.5296115,"(31.82776629999999, -100.5296115)"
Texas,Mitchell,0,0,0,0,0,0,1,0,0,0,0,0,68.0,1.0,56.0,0.0,8545.0,140.39999999999998,11.702750146284377,1,3,0,32.3360516,-100.8903099,"(32.3360516, -100.8903099)"
Texas,San Patricio,3,0,0,0,0,3,4,0,1,0,0,0,972.0,30.0,834.0,17.0,66730.0,206.79999999999995,19.481492582047053,8,1,0,27.9999695,-97.5247243,"(27.9999695, -97.5247243)"
Texas,Bell,0,0,0,0,0,0,2,0,4,0,0,0,3957.0,39.0,3598.0,33.0,362924.0,98.89999999999998,1.6532386946027267,6,3,0,31.134411,-97.5247243,"(31.134411, -97.5247243)"
Texas,Bosque,0,0,0,0,0,0,1,0,10,1,0,0,166.0,2.0,135.0,2.0,18685.0,165.89999999999995,0.0,11,1,0,31.8507607,-97.69822719999999,"(31.8507607, -97.69822719999999)"
Texas,Tarrant,0,0,0,0,0,0,1,0,1,0,0,0,34369.0,457.0,30162.0,398.0,2102515.0,200.1000000000001,2.806163095150332,2,0,0,32.7732044,-97.35165579999999,"(32.7732044, -97.35165579999999)"
Texas,Cooke,0,0,0,0,0,0,1,0,1,0,0,0,248.0,3.0,202.0,3.0,41257.0,111.5,0.0,2,3,0,33.6672185,-97.35165579999999,"(33.6672185, -97.35165579999999)"
Texas,Austin,0,0,0,0,0,2,2,0,1,0,0,0,269.0,4.0,216.0,3.0,30032.0,176.5,3.3297815663292485,3,3,0,29.8711291,-96.2800864,"(29.8711291, -96.2800864)"
Texas,Washington,0,0,0,0,0,0,4,0,5,0,0,0,515.0,39.0,498.0,38.0,35882.0,47.39999999999986,2.7869126581572936,9,1,0,30.2352956,-96.365157,"(30.2352956, -96.365157)"
Texas,Burleson,1,0,0,0,0,1,4,0,5,0,0,0,248.0,6.0,232.0,5.0,18443.0,86.79999999999997,5.422111370167543,10,1,0,30.4500257,-96.663812,"(30.4500257, -96.663812)"
Texas,Milam,1,0,0,0,0,1,3,0,6,0,0,0,350.0,3.0,327.0,3.0,24823.0,92.70000000000003,0.0,10,1,0,30.8092642,-96.9795011,"(30.8092642, -96.9795011)"
Texas,Falls,0,0,0,0,0,0,2,0,6,1,0,0,135.0,3.0,112.0,2.0,17297.0,133.0,5.781349366942244,8,1,0,31.1636412,-97.0068393,"(31.1636412, -97.0068393)"
Texas,Fort Bend,3,0,0,0,0,3,8,2,10,0,0,0,10335.0,164.0,7867.0,146.0,811688.0,304.0999999999999,2.2176008515587267,21,1,0,29.5692614,-95.81428849999999,"(29.5692614, -95.81428849999999)"
Texas,Medina,0,0,0,0,0,0,0,0,0,0,0,0,892.0,26.0,615.0,24.0,51584.0,537.0,3.8771712158808933,0,0,0,29.2987871,-99.0128926,"(29.2987871, -99.0128926)"
Texas,Brazos,0,0,0,0,0,0,3,0,2,0,0,0,4092.0,49.0,3953.0,46.0,229211.0,60.700000000000045,1.30883770848694,5,3,0,30.6504141,-96.3226072,"(30.6504141, -96.3226072)"
Texas,McLennan,0,0,0,0,0,1,1,0,9,0,0,0,5106.0,65.0,4694.0,51.0,256623.0,160.60000000000014,5.455473593559423,10,1,0,31.5182285,-97.179026,"(31.5182285, -97.179026)"
Texas,Johnson,0,0,0,0,0,0,2,0,5,0,0,0,1980.0,30.0,1619.0,27.0,175817.0,205.40000000000006,1.7063196391702737,7,1,0,32.4133566,-97.35165579999999,"(32.4133566, -97.35165579999999)"
Texas,Parker,0,0,0,0,0,0,1,0,5,0,0,0,1292.0,19.0,1123.0,15.0,142878.0,118.29999999999997,2.7995912596760872,6,3,0,32.7415519,-97.87216,"(32.7415519, -97.87216)"
Texas,Wise,0,0,0,0,0,0,1,0,4,0,0,0,449.0,8.0,329.0,5.0,69984.0,171.5,4.286694101508916,5,3,0,33.2895861,-97.69822719999999,"(33.2895861, -97.69822719999999)"
Texas,Williamson,0,0,0,0,0,0,1,0,0,0,0,0,7189.0,95.0,5930.0,80.0,590551.0,213.19999999999996,2.5400007789335723,1,0,0,30.7591685,-97.69822719999999,"(30.7591685, -97.69822719999999)"
